applicant_id,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
83,no checking,18,existing paid,business,3,none,none,1,good
84,<0,24,existing paid,other,4,guarantor,none,1,good
85,<0,10,existing paid,radio/tv,3,none,none,1,good
86,no checking,12,critical/other existing credit,business,4,guarantor,none,2,good
87,0<=X<200,18,critical/other existing credit,furniture/equipment,4,none,none,2,good
88,0<=X<200,36,existing paid,education,1,none,none,1,bad
89,<0,18,existing paid,new car,4,none,none,1,good
90,<0,12,no credits/all paid,repairs,4,none,none,2,bad
91,no checking,12,critical/other existing credit,radio/tv,4,none,none,1,good
92,<0,12,critical/other existing credit,used car,4,none,none,1,good
93,no checking,12,critical/other existing credit,radio/tv,4,none,bank,1,bad
94,>=200,24,critical/other existing credit,furniture/equipment,4,co applicant,none,2,good
95,0<=X<200,12,existing paid,new car,4,none,none,1,good
96,0<=X<200,54,no credits/all paid,business,3,none,none,1,bad
97,no checking,12,critical/other existing credit,education,4,none,none,1,good
98,0<=X<200,18,existing paid,business,4,none,none,1,good
99,0<=X<200,36,critical/other existing credit,radio/tv,4,none,none,1,good
100,0<=X<200,20,delayed previously,used car,3,none,bank,2,good
101,no checking,24,existing paid,new car,4,none,none,1,good
102,0<=X<200,36,existing paid,radio/tv,4,none,none,1,good
103,no checking,6,delayed previously,radio/tv,3,none,none,1,good
104,0<=X<200,9,critical/other existing credit,furniture/equipment,4,none,none,1,good
105,no checking,12,existing paid,used car,2,none,none,1,good
106,0<=X<200,24,critical/other existing credit,other,2,co applicant,none,2,bad
107,no checking,18,all paid,new car,2,none,bank,2,bad
108,0<=X<200,12,existing paid,new car,2,none,none,1,good
109,<0,24,existing paid,furniture/equipment,1,none,none,1,good
110,0<=X<200,14,existing paid,business,1,none,none,1,good
111,0<=X<200,6,delayed previously,business,1,none,bank,2,good
112,>=200,15,existing paid,education,4,none,none,1,good
113,0<=X<200,18,existing paid,new car,3,none,none,1,good
114,no checking,36,critical/other existing credit,new car,4,none,stores,2,bad
115,<0,12,existing paid,radio/tv,3,none,none,1,good
116,no checking,48,critical/other existing credit,radio/tv,4,none,none,1,good
117,<0,42,existing paid,radio/tv,4,none,none,1,bad
118,<0,10,critical/other existing credit,furniture/equipment,2,co applicant,none,2,good
119,<0,33,critical/other existing credit,furniture/equipment,1,none,none,2,bad
120,0<=X<200,12,critical/other existing credit,new car,3,none,none,1,good
121,<0,21,existing paid,radio/tv,3,none,none,2,bad
122,no checking,24,critical/other existing credit,used car,4,none,none,2,good
123,no checking,12,existing paid,furniture/equipment,3,none,none,1,good
124,>=200,10,critical/other existing credit,new car,4,none,none,2,good
125,0<=X<200,18,existing paid,furniture/equipment,4,none,none,1,bad
126,<0,12,critical/other existing credit,new car,4,none,none,2,good
127,<0,12,existing paid,radio/tv,4,none,none,1,good
128,0<=X<200,12,existing paid,repairs,4,none,none,1,bad
129,0<=X<200,12,critical/other existing credit,used car,4,none,none,2,good
130,<0,12,critical/other existing credit,new car,3,co applicant,none,2,bad
131,0<=X<200,48,existing paid,new car,1,none,none,1,good
132,<0,36,delayed previously,education,4,none,stores,1,bad
133,no checking,15,existing paid,furniture/equipment,2,none,bank,2,good
134,no checking,18,existing paid,furniture/equipment,4,none,bank,2,good
135,no checking,60,existing paid,radio/tv,2,none,none,1,good
136,no checking,12,critical/other existing credit,radio/tv,4,none,none,2,good
137,no checking,27,delayed previously,used car,2,none,none,2,good
138,0<=X<200,12,existing paid,radio/tv,4,none,none,1,bad
139,0<=X<200,15,critical/other existing credit,radio/tv,4,guarantor,bank,3,good
140,>=200,12,existing paid,radio/tv,2,none,none,1,good
141,>=200,6,existing paid,new car,2,none,none,1,good
142,0<=X<200,36,existing paid,radio/tv,4,none,none,1,good
143,<0,27,existing paid,radio/tv,3,none,none,1,good
144,<0,18,existing paid,furniture/equipment,2,none,none,1,bad
145,no checking,21,critical/other existing credit,furniture/equipment,4,none,none,1,good
146,0<=X<200,48,all paid,business,4,none,none,1,good
147,<0,6,critical/other existing credit,new car,1,none,none,2,good
148,no checking,12,critical/other existing credit,new car,4,none,none,2,good
149,<0,36,critical/other existing credit,furniture/equipment,3,guarantor,none,2,good
150,no checking,18,critical/other existing credit,radio/tv,4,none,none,2,good
151,no checking,6,existing paid,radio/tv,2,none,bank,1,good
152,no checking,10,existing paid,radio/tv,1,none,none,1,good
153,>=200,36,existing paid,radio/tv,4,none,none,1,good
154,0<=X<200,24,critical/other existing credit,used car,2,none,none,1,good
155,0<=X<200,24,delayed previously,business,4,none,none,1,good
156,<0,12,existing paid,furniture/equipment,2,none,none,1,bad
157,<0,9,critical/other existing credit,repairs,3,guarantor,none,2,good
158,<0,12,all paid,retraining,4,none,bank,1,good
159,0<=X<200,24,existing paid,new car,2,none,bank,2,good
160,no checking,6,critical/other existing credit,radio/tv,1,none,none,2,good
161,no checking,24,critical/other existing credit,radio/tv,3,none,none,1,good
162,no checking,18,critical/other existing credit,new car,4,none,none,2,good
163,no checking,15,existing paid,domestic appliance,4,none,none,2,good
164,0<=X<200,10,existing paid,new car,2,none,bank,1,good
165,no checking,36,existing paid,new car,4,none,none,1,good
166,no checking,6,existing paid,furniture/equipment,1,none,none,1,good
167,<0,18,existing paid,furniture/equipment,4,none,none,1,bad
168,0<=X<200,11,existing paid,furniture/equipment,4,none,none,1,good
169,no checking,24,existing paid,furniture/equipment,2,none,none,1,good
170,0<=X<200,24,critical/other existing credit,business,4,none,none,2,bad
171,<0,15,no credits/all paid,new car,4,none,none,2,bad
172,no checking,12,existing paid,furniture/equipment,4,none,none,1,good
173,0<=X<200,24,delayed previously,furniture/equipment,3,none,none,1,bad
174,0<=X<200,8,existing paid,radio/tv,4,guarantor,none,1,good
175,<0,21,delayed previously,education,2,none,none,2,bad
176,no checking,30,all paid,used car,4,none,bank,1,bad
177,<0,12,existing paid,furniture/equipment,2,none,none,1,good
178,<0,6,critical/other existing credit,radio/tv,4,none,none,2,good
179,no checking,12,existing paid,radio/tv,4,none,none,2,good
180,<0,21,critical/other existing credit,new car,4,none,none,2,good
181,no checking,36,delayed previously,business,1,none,none,2,bad
182,0<=X<200,36,delayed previously,business,2,none,stores,2,bad
183,<0,21,all paid,new car,4,none,none,2,bad
184,no checking,24,critical/other existing credit,furniture/equipment,4,none,none,1,good
185,0<=X<200,18,critical/other existing credit,new car,4,none,bank,1,bad
186,no checking,15,critical/other existing credit,radio/tv,4,none,none,2,good
187,0<=X<200,9,all paid,used car,2,none,bank,1,bad
188,0<=X<200,16,critical/other existing credit,new car,2,none,none,3,good
189,<0,12,existing paid,radio/tv,4,none,none,1,bad
190,0<=X<200,18,no credits/all paid,furniture/equipment,1,none,bank,2,good
191,no checking,24,existing paid,business,2,none,none,3,bad
192,0<=X<200,48,no credits/all paid,business,4,none,none,1,bad
193,0<=X<200,27,existing paid,business,4,none,none,1,bad
194,no checking,6,existing paid,radio/tv,2,none,none,1,good
195,0<=X<200,45,existing paid,radio/tv,4,guarantor,none,1,bad
196,0<=X<200,9,critical/other existing credit,education,2,none,none,2,bad
197,no checking,6,critical/other existing credit,radio/tv,1,none,none,2,good
198,0<=X<200,12,existing paid,furniture/equipment,4,none,bank,4,bad
199,0<=X<200,24,existing paid,used car,4,none,bank,1,good
200,0<=X<200,18,delayed previously,furniture/equipment,4,none,none,1,bad
201,no checking,9,critical/other existing credit,education,4,none,none,2,good
202,<0,12,existing paid,new car,4,none,none,1,good
203,no checking,27,delayed previously,business,3,none,none,2,good
204,<0,12,existing paid,retraining,4,none,none,1,bad
205,no checking,12,critical/other existing credit,new car,4,none,none,2,good
206,<0,30,critical/other existing credit,used car,3,none,none,3,good
207,no checking,12,critical/other existing credit,furniture/equipment,4,none,none,3,good
208,0<=X<200,12,critical/other existing credit,domestic appliance,4,none,none,1,good
209,<0,24,existing paid,business,2,none,stores,1,good
210,no checking,12,existing paid,used car,3,none,none,1,good
211,no checking,9,critical/other existing credit,radio/tv,1,none,none,2,good
212,no checking,36,existing paid,radio/tv,2,none,none,1,good
213,<0,27,no credits/all paid,business,2,none,stores,2,bad
214,>=200,30,delayed previously,business,4,none,none,1,bad
215,no checking,36,critical/other existing credit,radio/tv,4,none,none,1,good
216,0<=X<200,6,critical/other existing credit,retraining,1,none,none,2,good
217,<0,18,no credits/all paid,business,3,none,bank,1,good
218,>=200,36,existing paid,radio/tv,2,none,none,1,good
219,<0,24,existing paid,furniture/equipment,2,none,none,1,good
220,no checking,10,existing paid,new car,2,none,none,1,good
221,0<=X<200,12,existing paid,radio/tv,4,guarantor,bank,1,good
222,<0,12,existing paid,education,4,none,bank,1,good
223,no checking,12,existing paid,radio/tv,4,none,bank,2,good
224,no checking,24,delayed previously,business,4,none,none,2,good
225,no checking,15,existing paid,used car,3,none,none,1,good
226,no checking,36,no credits/all paid,repairs,4,none,none,2,good
227,0<=X<200,48,existing paid,radio/tv,1,co applicant,bank,2,bad
228,<0,12,existing paid,furniture/equipment,4,none,none,1,bad
229,no checking,9,existing paid,radio/tv,4,none,none,1,bad
230,<0,24,existing paid,furniture/equipment,4,none,bank,1,good
231,>=200,36,existing paid,radio/tv,4,none,none,1,bad
232,no checking,9,existing paid,new car,2,none,none,1,good
233,no checking,12,existing paid,radio/tv,3,none,none,1,good
234,0<=X<200,18,existing paid,radio/tv,4,guarantor,none,1,good
235,no checking,4,critical/other existing credit,radio/tv,2,none,none,3,good
236,<0,24,existing paid,radio/tv,4,none,stores,1,bad
237,0<=X<200,6,existing paid,new car,1,none,none,1,bad
238,0<=X<200,21,existing paid,business,4,none,bank,2,bad
239,no checking,12,critical/other existing credit,radio/tv,4,none,none,2,good
240,<0,30,existing paid,radio/tv,1,guarantor,none,1,good
241,<0,24,existing paid,new car,4,none,bank,1,bad
242,no checking,6,existing paid,radio/tv,3,none,none,1,good
243,<0,48,no credits/all paid,used car,3,none,none,2,bad
244,no checking,12,critical/other existing credit,business,3,none,none,2,good
245,no checking,12,all paid,retraining,4,none,none,1,good
246,no checking,24,existing paid,business,4,none,none,1,good
247,no checking,12,critical/other existing credit,radio/tv,4,none,none,3,good
248,no checking,6,no credits/all paid,new car,4,none,bank,1,good
249,>=200,24,existing paid,furniture/equipment,2,none,none,1,good
250,no checking,18,existing paid,radio/tv,3,co applicant,none,1,bad
251,<0,6,critical/other existing credit,new car,3,none,none,2,good
252,>=200,12,existing paid,furniture/equipment,1,none,none,1,good
253,0<=X<200,30,existing paid,new car,4,guarantor,bank,1,bad
254,no checking,24,delayed previously,furniture/equipment,2,none,none,2,good
255,0<=X<200,9,existing paid,furniture/equipment,2,none,none,1,good
256,0<=X<200,60,delayed previously,radio/tv,1,none,none,1,good
257,no checking,24,critical/other existing credit,radio/tv,4,none,none,2,good
258,<0,12,all paid,radio/tv,4,none,none,1,bad
259,no checking,15,existing paid,used car,1,none,none,1,good
260,no checking,11,critical/other existing credit,radio/tv,4,none,none,3,good
261,<0,12,existing paid,furniture/equipment,2,none,none,1,good
262,<0,24,existing paid,radio/tv,4,none,none,1,good
263,<0,18,critical/other existing credit,new car,2,none,none,3,good
264,no checking,12,critical/other existing credit,education,2,none,bank,3,good
265,no checking,10,critical/other existing credit,new car,3,none,none,2,good
266,0<=X<200,15,existing paid,radio/tv,4,none,none,1,bad
267,no checking,36,critical/other existing credit,business,4,none,none,2,good
268,no checking,24,existing paid,radio/tv,4,none,stores,1,good
269,<0,14,existing paid,new car,1,none,none,1,bad
270,no checking,24,existing paid,radio/tv,4,none,none,2,good
271,no checking,18,existing paid,new car,4,none,none,1,good
272,no checking,12,critical/other existing credit,furniture/equipment,3,none,none,1,good
273,0<=X<200,48,all paid,new car,4,co applicant,none,1,good
274,0<=X<200,48,existing paid,radio/tv,4,none,none,2,bad
275,<0,30,existing paid,repairs,1,none,none,1,bad
276,no checking,9,existing paid,radio/tv,1,none,none,1,good
277,no checking,18,critical/other existing credit,radio/tv,2,none,none,2,good
278,<0,12,existing paid,furniture/equipment,2,none,none,1,good
279,no checking,6,existing paid,furniture/equipment,1,none,none,1,bad
280,no checking,24,existing paid,radio/tv,4,none,none,1,good
281,no checking,15,critical/other existing credit,used car,3,none,none,2,good
282,no checking,12,existing paid,furniture/equipment,4,none,none,1,good
283,>=200,18,all paid,radio/tv,4,none,bank,1,good
284,no checking,15,critical/other existing credit,furniture/equipment,4,none,none,1,good
285,0<=X<200,24,critical/other existing credit,new car,4,none,none,1,good
286,<0,47,existing paid,new car,1,none,none,1,good
287,<0,48,existing paid,used car,4,none,none,1,good
288,0<=X<200,48,delayed previously,other,2,none,none,1,good
289,0<=X<200,12,existing paid,radio/tv,4,guarantor,none,2,good
290,<0,24,delayed previously,radio/tv,4,none,stores,1,bad
291,no checking,12,existing paid,business,2,none,none,1,good
292,0<=X<200,36,existing paid,used car,1,none,none,1,bad
293,<0,24,critical/other existing credit,used car,2,none,none,2,good
294,>=200,42,critical/other existing credit,used car,4,none,none,1,good
295,no checking,48,critical/other existing credit,business,4,none,bank,2,good
296,0<=X<200,48,existing paid,furniture/equipment,1,none,none,1,bad
297,no checking,12,existing paid,used car,1,none,none,1,good
298,no checking,10,existing paid,new car,4,co applicant,none,1,good
299,no checking,18,existing paid,furniture/equipment,3,none,none,1,good
300,0<=X<200,21,critical/other existing credit,furniture/equipment,3,none,none,2,good
301,no checking,6,existing paid,new car,1,none,none,1,good
302,0<=X<200,36,no credits/all paid,radio/tv,4,none,none,1,bad
303,>=200,24,critical/other existing credit,new car,4,none,bank,2,bad
304,<0,10,critical/other existing credit,new car,4,co applicant,none,2,good
305,no checking,48,critical/other existing credit,new car,2,none,bank,1,bad
306,no checking,6,existing paid,furniture/equipment,4,none,none,1,good
307,no checking,30,existing paid,used car,2,none,stores,1,good
308,<0,12,existing paid,radio/tv,4,none,none,1,bad
309,0<=X<200,8,existing paid,furniture/equipment,3,none,none,1,bad
310,0<=X<200,9,existing paid,new car,4,none,none,1,good
311,0<=X<200,48,existing paid,other,3,none,bank,1,good
312,no checking,24,existing paid,furniture/equipment,4,none,stores,1,good
313,>=200,24,existing paid,furniture/equipment,2,none,none,1,good
314,0<=X<200,12,existing paid,new car,2,none,bank,1,bad
315,>=200,4,existing paid,new car,1,none,none,1,good
316,<0,36,all paid,furniture/equipment,4,none,bank,1,bad
317,<0,12,existing paid,furniture/equipment,2,guarantor,none,1,good
318,0<=X<200,24,existing paid,furniture/equipment,1,none,none,1,good
319,no checking,12,critical/other existing credit,education,4,none,none,2,good
320,<0,15,delayed previously,furniture/equipment,1,none,none,2,good
321,0<=X<200,30,critical/other existing credit,new car,4,none,none,2,bad
322,<0,24,existing paid,radio/tv,4,none,none,1,bad
323,<0,24,existing paid,used car,2,none,none,1,good
324,<0,18,existing paid,furniture/equipment,4,none,none,1,good
325,no checking,18,critical/other existing credit,new car,4,none,none,2,good
326,<0,8,critical/other existing credit,new car,1,none,none,2,good
327,no checking,12,critical/other existing credit,furniture/equipment,2,none,none,1,good
328,no checking,24,existing paid,new car,4,none,none,1,good
329,>=200,36,existing paid,radio/tv,4,none,none,1,good
330,0<=X<200,6,existing paid,radio/tv,4,none,none,1,good
331,<0,24,critical/other existing credit,used car,2,none,none,2,good
332,no checking,18,critical/other existing credit,education,4,none,none,2,bad
333,0<=X<200,60,existing paid,new car,4,none,none,1,bad
334,no checking,48,critical/other existing credit,used car,2,none,bank,2,bad
335,<0,24,no credits/all paid,furniture/equipment,3,none,bank,2,bad
336,<0,6,critical/other existing credit,furniture/equipment,1,none,none,1,bad
337,0<=X<200,13,existing paid,radio/tv,2,guarantor,none,1,good
338,<0,15,existing paid,domestic appliance,4,none,none,1,bad
339,<0,24,existing paid,furniture/equipment,4,none,none,1,good
340,0<=X<200,10,existing paid,furniture/equipment,4,none,none,1,good
341,0<=X<200,24,critical/other existing credit,education,2,none,none,2,good
342,<0,21,existing paid,furniture/equipment,1,none,none,1,good
343,0<=X<200,18,existing paid,radio/tv,1,none,none,1,good
344,0<=X<200,18,existing paid,business,1,co applicant,bank,1,good
345,>=200,10,existing paid,new car,1,guarantor,none,1,good
346,no checking,15,critical/other existing credit,radio/tv,4,none,none,1,good
347,0<=X<200,13,critical/other existing credit,radio/tv,4,guarantor,none,2,good
348,0<=X<200,24,existing paid,radio/tv,1,none,none,1,good
349,no checking,6,delayed previously,business,1,none,none,2,good
350,0<=X<200,9,critical/other existing credit,education,4,none,none,2,bad
351,no checking,9,existing paid,domestic appliance,1,none,none,1,good
352,0<=X<200,9,existing paid,furniture/equipment,1,none,none,1,bad
353,no checking,18,critical/other existing credit,used car,2,none,none,1,good
354,<0,12,no credits/all paid,radio/tv,4,none,none,2,bad
355,no checking,10,existing paid,education,4,none,none,1,good
356,0<=X<200,24,existing paid,new car,4,none,stores,1,bad
357,no checking,12,critical/other existing credit,radio/tv,1,co applicant,none,1,good
358,no checking,36,delayed previously,radio/tv,4,none,none,2,bad
359,no checking,12,existing paid,radio/tv,4,none,none,1,good
360,<0,30,existing paid,furniture/equipment,4,none,none,1,bad
361,0<=X<200,18,existing paid,education,4,none,none,1,good
362,>=200,12,existing paid,radio/tv,2,none,none,1,good
363,>=200,12,delayed previously,new car,2,none,stores,2,good
364,no checking,6,existing paid,furniture/equipment,1,none,none,1,good
365,<0,18,existing paid,furniture/equipment,4,none,none,1,bad
366,no checking,12,existing paid,business,2,none,none,1,good
367,no checking,18,critical/other existing credit,used car,3,none,none,2,good
368,<0,18,existing paid,furniture/equipment,1,none,none,1,good
369,<0,36,existing paid,furniture/equipment,4,none,none,1,bad
370,0<=X<200,18,existing paid,furniture/equipment,2,none,none,1,good
371,no checking,36,existing paid,new car,4,none,none,1,good
372,no checking,18,critical/other existing credit,radio/tv,3,none,none,2,good
373,no checking,10,critical/other existing credit,furniture/equipment,1,none,none,2,good
374,no checking,60,critical/other existing credit,new car,2,none,bank,1,good
375,0<=X<200,60,all paid,other,3,none,bank,2,bad
376,<0,48,all paid,business,2,guarantor,none,1,bad
377,no checking,18,delayed previously,radio/tv,2,none,none,2,good
378,no checking,7,delayed previously,radio/tv,3,none,none,1,good
379,0<=X<200,36,existing paid,new car,4,none,none,1,bad
380,no checking,6,critical/other existing credit,new car,4,none,none,2,good
381,<0,20,existing paid,furniture/equipment,4,none,none,1,good
382,0<=X<200,18,existing paid,used car,3,none,none,1,bad
383,no checking,22,existing paid,new car,4,none,none,1,good
384,>=200,12,existing paid,new car,4,none,none,1,good
385,no checking,30,delayed previously,business,2,none,none,2,good
386,no checking,18,critical/other existing credit,radio/tv,2,none,none,2,good
387,no checking,18,existing paid,radio/tv,4,none,none,1,good
388,0<=X<200,18,critical/other existing credit,furniture/equipment,4,none,stores,2,good
389,0<=X<200,15,critical/other existing credit,business,2,none,bank,1,good
390,no checking,9,existing paid,business,3,none,none,2,good
391,no checking,18,existing paid,new car,2,none,none,1,good
392,0<=X<200,12,existing paid,furniture/equipment,1,none,none,1,good
393,<0,36,existing paid,new car,2,none,bank,1,good
394,<0,6,critical/other existing credit,radio/tv,1,none,none,1,good
395,no checking,9,critical/other existing credit,furniture/equipment,2,none,none,1,good
396,0<=X<200,39,delayed previously,education,2,none,none,1,good
397,<0,12,existing paid,furniture/equipment,3,none,none,1,good
398,<0,36,critical/other existing credit,furniture/equipment,3,none,none,2,good
399,0<=X<200,12,existing paid,new car,1,none,none,2,bad
400,no checking,24,critical/other existing credit,radio/tv,4,none,none,2,good
401,no checking,18,existing paid,radio/tv,3,none,none,1,good
402,0<=X<200,18,critical/other existing credit,business,4,none,bank,2,good
403,no checking,24,delayed previously,business,2,none,bank,2,bad
404,no checking,14,delayed previously,new car,4,none,none,2,good
405,0<=X<200,18,delayed previously,new car,4,none,none,1,good
406,0<=X<200,24,existing paid,radio/tv,1,none,none,1,bad
407,no checking,24,critical/other existing credit,used car,4,none,none,2,good
408,<0,15,existing paid,radio/tv,4,none,none,1,good
409,no checking,24,existing paid,radio/tv,3,none,none,1,good
410,>=200,12,critical/other existing credit,new car,4,none,none,3,bad
411,0<=X<200,24,existing paid,radio/tv,4,none,none,1,good
412,no checking,33,critical/other existing credit,used car,3,none,none,2,good
413,no checking,12,critical/other existing credit,business,4,none,stores,2,bad
414,no checking,10,existing paid,new car,3,none,none,1,good
415,<0,24,existing paid,new car,4,none,none,1,bad
416,no checking,36,critical/other existing credit,used car,2,none,none,2,good
417,<0,12,existing paid,new car,4,none,none,1,bad
418,<0,18,delayed previously,education,1,none,none,2,good
419,no checking,21,existing paid,new car,1,none,bank,1,good
420,0<=X<200,18,existing paid,new car,4,none,none,1,bad
421,no checking,15,existing paid,new car,2,none,none,1,good
422,0<=X<200,12,existing paid,used car,4,none,none,1,good
423,0<=X<200,12,critical/other existing credit,new car,2,none,none,2,good
424,no checking,21,delayed previously,furniture/equipment,4,none,none,2,good
425,0<=X<200,12,existing paid,furniture/equipment,1,none,bank,1,bad
426,0<=X<200,18,existing paid,used car,1,none,none,1,good
427,no checking,28,critical/other existing credit,radio/tv,4,none,none,2,good
428,no checking,18,critical/other existing credit,radio/tv,4,none,none,2,good
429,no checking,9,existing paid,furniture/equipment,1,none,none,1,good
430,<0,18,critical/other existing credit,repairs,2,none,none,3,bad
431,no checking,5,existing paid,business,1,none,none,1,good
432,0<=X<200,24,existing paid,other,2,co applicant,bank,2,bad
433,<0,6,critical/other existing credit,furniture/equipment,4,none,none,3,good
434,no checking,24,critical/other existing credit,repairs,4,none,none,2,good
435,<0,9,existing paid,furniture/equipment,3,none,none,1,good
436,0<=X<200,12,existing paid,radio/tv,2,none,none,1,bad
437,no checking,6,existing paid,repairs,2,none,none,1,good
438,no checking,24,critical/other existing credit,new car,4,none,none,2,good
439,<0,42,critical/other existing credit,repairs,4,co applicant,none,2,good
440,>=200,12,all paid,business,4,none,none,1,bad
441,no checking,12,existing paid,new car,4,none,none,1,good
442,<0,12,existing paid,furniture/equipment,2,co applicant,none,1,good
443,0<=X<200,20,delayed previously,other,2,none,bank,2,good
444,no checking,12,existing paid,education,4,none,bank,1,bad
445,0<=X<200,48,critical/other existing credit,furniture/equipment,2,none,none,1,bad
446,no checking,9,critical/other existing credit,education,4,none,none,2,good
447,<0,36,existing paid,new car,4,none,none,1,bad
448,0<=X<200,7,existing paid,radio/tv,2,guarantor,none,1,good
449,>=200,12,existing paid,furniture/equipment,3,none,none,1,good
450,0<=X<200,15,delayed previously,repairs,3,none,stores,2,bad
451,no checking,36,critical/other existing credit,used car,4,none,none,1,good
452,no checking,6,existing paid,radio/tv,3,none,none,1,good
453,no checking,12,no credits/all paid,furniture/equipment,2,none,none,2,good
454,no checking,24,existing paid,used car,4,none,none,1,good
455,<0,24,existing paid,new car,2,co applicant,none,1,bad
456,no checking,24,existing paid,used car,4,none,none,1,good
