applicant_id,credit_amount,age,sex,marital_status,previous_delay,job,employment,savings_status,housing,residence_since,property_magnitude,num_dependents,own_telephone,foreign_worker,checking_status,duration,credit_history,purpose,installment_commitment,other_parties,other_payment_plans,existing_credits,class
57,6468,52,male,single,FALSE,high qualif/self emp/mgmt,unemployed,no known savings,own,1,no known property,1,yes,yes,0<=X<200,12,existing paid,radio/tv,2,none,none,1,bad
58,9566,31,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,car,1,none,yes,no checking,36,critical/other existing credit,radio/tv,2,none,stores,2,good
59,1961,23,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,>=7,<100,own,2,car,1,none,yes,>=200,18,existing paid,new car,3,none,none,1,good
60,6229,23,female,div/sep/mar/wid,TRUE,unskilled resident,<1,<100,rent,4,no known property,1,yes,yes,<0,36,critical/other existing credit,furniture/equipment,4,co applicant,none,2,bad
61,1391,27,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,1,real estate,1,yes,yes,0<=X<200,9,existing paid,business,2,none,bank,1,good
62,1537,50,male,single,TRUE,skilled,>=7,no known savings,own,4,real estate,1,yes,yes,0<=X<200,15,critical/other existing credit,radio/tv,4,guarantor,none,2,good
63,1953,61,male,single,FALSE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,1,yes,yes,0<=X<200,36,no credits/all paid,business,4,none,none,1,bad
64,14421,25,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,yes,yes,0<=X<200,48,no credits/all paid,business,2,none,none,1,bad
65,3181,26,female,div/sep/mar/wid,FALSE,skilled,<1,<100,own,4,life insurance,1,yes,yes,no checking,24,existing paid,radio/tv,4,none,none,1,good
66,5190,48,male,single,FALSE,skilled,>=7,no known savings,own,4,life insurance,2,yes,yes,no checking,27,existing paid,repairs,4,none,none,4,good
67,2171,29,female,div/sep/mar/wid,FALSE,skilled,<1,<100,own,2,car,1,none,yes,no checking,12,existing paid,radio/tv,2,none,bank,1,good
68,1007,22,male,div/sep/mar/wid,FALSE,skilled,1<=X<4,>=1000,own,1,real estate,1,none,yes,0<=X<200,12,existing paid,new car,4,none,none,1,good
69,1819,37,male,single,FALSE,skilled,1<=X<4,<100,for free,4,no known property,1,yes,yes,no checking,36,existing paid,education,4,none,stores,1,bad
70,2394,25,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,no known savings,own,4,car,1,none,yes,no checking,36,existing paid,radio/tv,4,none,none,1,good
71,8133,30,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,2,life insurance,1,none,yes,no checking,36,existing paid,used car,1,none,bank,1,good
72,730,46,male,single,TRUE,unskilled resident,>=7,no known savings,rent,2,life insurance,1,yes,yes,no checking,7,critical/other existing credit,radio/tv,4,none,none,2,good
73,1164,51,male,single,TRUE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,2,yes,yes,<0,8,critical/other existing credit,other,3,none,bank,2,good
74,5954,41,female,div/sep/mar/wid,TRUE,unskilled resident,4<=X<7,<100,own,1,real estate,1,none,yes,0<=X<200,42,critical/other existing credit,business,2,none,bank,2,good
75,1977,40,male,single,FALSE,high qualif/self emp/mgmt,>=7,no known savings,own,4,no known property,1,yes,yes,<0,36,existing paid,education,4,none,none,1,bad
76,1526,66,male,single,TRUE,high qualif/self emp/mgmt,>=7,<100,for free,4,no known property,1,none,yes,<0,12,critical/other existing credit,used car,4,none,none,2,good
77,3965,34,male,single,FALSE,skilled,<1,<100,own,3,car,1,none,yes,<0,42,existing paid,radio/tv,4,none,none,1,bad
78,4771,51,male,single,TRUE,skilled,4<=X<7,<100,own,4,life insurance,1,none,yes,0<=X<200,11,delayed previously,radio/tv,2,none,none,1,good
79,9436,39,male,single,FALSE,unskilled resident,1<=X<4,no known savings,own,2,life insurance,2,none,yes,no checking,54,no credits/all paid,used car,2,none,none,1,good
80,3832,22,male,div/sep/mar/wid,FALSE,skilled,<1,<100,own,1,life insurance,1,none,yes,0<=X<200,30,existing paid,furniture/equipment,2,none,none,1,good
81,5943,44,female,div/sep/mar/wid,FALSE,skilled,<1,no known savings,own,1,car,1,yes,yes,no checking,24,existing paid,radio/tv,1,none,none,2,bad
82,1213,47,male,single,FALSE,skilled,>=7,500<=X<1000,own,3,life insurance,1,yes,yes,no checking,15,existing paid,radio/tv,4,none,stores,1,good
83,1568,24,female,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,100<=X<500,rent,4,life insurance,1,none,yes,no checking,18,existing paid,business,3,none,none,1,good
84,1755,58,female,div/sep/mar/wid,FALSE,unskilled resident,>=7,<100,own,4,real estate,1,yes,yes,<0,24,existing paid,other,4,guarantor,none,1,good
85,2315,52,male,single,FALSE,unskilled resident,>=7,<100,own,4,real estate,1,none,yes,<0,10,existing paid,radio/tv,3,none,none,1,good
86,1412,29,female,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,1<=X<4,<100,own,2,real estate,1,yes,yes,no checking,12,critical/other existing credit,business,4,guarantor,none,2,good
87,1295,27,female,div/sep/mar/wid,TRUE,skilled,<1,<100,own,1,life insurance,1,none,yes,0<=X<200,18,critical/other existing credit,furniture/equipment,4,none,none,2,good
88,12612,47,male,single,FALSE,skilled,1<=X<4,100<=X<500,for free,4,no known property,2,yes,yes,0<=X<200,36,existing paid,education,1,none,none,1,bad
89,2249,30,male,single,FALSE,high qualif/self emp/mgmt,4<=X<7,100<=X<500,own,3,car,2,yes,yes,<0,18,existing paid,new car,4,none,none,1,good
90,1108,28,male,single,FALSE,skilled,4<=X<7,<100,own,3,real estate,1,none,yes,<0,12,no credits/all paid,repairs,4,none,none,2,bad
91,618,56,male,single,TRUE,skilled,>=7,<100,own,4,real estate,1,none,yes,no checking,12,critical/other existing credit,radio/tv,4,none,none,1,good
92,1409,54,male,single,TRUE,skilled,>=7,<100,own,3,real estate,1,none,yes,<0,12,critical/other existing credit,used car,4,none,none,1,good
93,797,33,female,div/sep/mar/wid,TRUE,unskilled resident,>=7,no known savings,own,3,life insurance,2,none,yes,no checking,12,critical/other existing credit,radio/tv,4,none,bank,1,bad
94,3617,20,male,single,TRUE,skilled,>=7,no known savings,rent,4,no known property,1,none,yes,>=200,24,critical/other existing credit,furniture/equipment,4,co applicant,none,2,good
95,1318,54,male,single,FALSE,skilled,>=7,>=1000,own,4,real estate,1,yes,yes,0<=X<200,12,existing paid,new car,4,none,none,1,good
96,15945,58,male,single,FALSE,skilled,<1,<100,rent,4,no known property,1,yes,yes,0<=X<200,54,no credits/all paid,business,3,none,none,1,bad
97,2012,61,female,div/sep/mar/wid,TRUE,skilled,4<=X<7,no known savings,own,2,car,1,none,yes,no checking,12,critical/other existing credit,education,4,none,none,1,good
98,2622,34,male,single,FALSE,skilled,1<=X<4,100<=X<500,own,4,car,1,none,yes,0<=X<200,18,existing paid,business,4,none,none,1,good
99,2337,36,male,single,TRUE,skilled,>=7,<100,own,4,real estate,1,none,yes,0<=X<200,36,critical/other existing credit,radio/tv,4,none,none,1,good
100,7057,36,male,single,TRUE,high qualif/self emp/mgmt,4<=X<7,no known savings,rent,4,life insurance,2,yes,yes,0<=X<200,20,delayed previously,used car,3,none,bank,2,good
101,1469,41,male,div/sep/mar/wid,FALSE,unskilled resident,>=7,100<=X<500,rent,4,real estate,1,none,yes,no checking,24,existing paid,new car,4,none,none,1,good
102,2323,24,male,single,FALSE,skilled,4<=X<7,<100,rent,4,car,1,none,yes,0<=X<200,36,existing paid,radio/tv,4,none,none,1,good
103,932,24,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,no checking,6,delayed previously,radio/tv,3,none,none,1,good
104,1919,35,male,single,TRUE,skilled,4<=X<7,<100,rent,3,car,1,yes,yes,0<=X<200,9,critical/other existing credit,furniture/equipment,4,none,none,1,good
105,2445,26,male,div/sep/mar/wid,FALSE,skilled,<1,no known savings,rent,4,car,1,yes,yes,no checking,12,existing paid,used car,2,none,none,1,good
106,11938,39,male,single,TRUE,high qualif/self emp/mgmt,1<=X<4,<100,own,3,car,2,yes,yes,0<=X<200,24,critical/other existing credit,other,2,co applicant,none,2,bad
107,6458,39,male,single,FALSE,high qualif/self emp/mgmt,>=7,<100,own,4,no known property,2,yes,yes,no checking,18,all paid,new car,2,none,bank,2,bad
108,6078,32,male,single,FALSE,skilled,4<=X<7,<100,own,2,car,1,none,yes,0<=X<200,12,existing paid,new car,2,none,none,1,good
109,7721,30,female,div/sep/mar/wid,FALSE,skilled,<1,no known savings,own,2,life insurance,1,yes,no,<0,24,existing paid,furniture/equipment,1,none,none,1,good
110,1410,35,male,div/sep/mar/wid,FALSE,skilled,>=7,500<=X<1000,own,2,real estate,1,yes,yes,0<=X<200,14,existing paid,business,1,none,none,1,good
111,1449,31,male,div/sep/mar/wid,TRUE,skilled,>=7,100<=X<500,own,2,car,2,none,yes,0<=X<200,6,delayed previously,business,1,none,bank,2,good
112,392,23,female,div/sep/mar/wid,FALSE,skilled,<1,<100,rent,4,life insurance,1,yes,yes,>=200,15,existing paid,education,4,none,none,1,good
113,6260,28,male,single,FALSE,unskilled resident,4<=X<7,<100,rent,3,real estate,1,none,yes,0<=X<200,18,existing paid,new car,3,none,none,1,good
114,7855,25,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,real estate,1,yes,yes,no checking,36,critical/other existing credit,new car,4,none,stores,2,bad
115,1680,35,male,div/sep/mar/wid,FALSE,skilled,>=7,500<=X<1000,own,1,real estate,1,none,yes,<0,12,existing paid,radio/tv,3,none,none,1,good
116,3578,47,male,single,TRUE,skilled,>=7,no known savings,own,1,real estate,1,yes,yes,no checking,48,critical/other existing credit,radio/tv,4,none,none,1,good
117,7174,30,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,4<=X<7,no known savings,own,3,car,1,yes,yes,<0,42,existing paid,radio/tv,4,none,none,1,bad
118,2132,27,female,div/sep/mar/wid,TRUE,skilled,<1,no known savings,rent,3,real estate,1,none,no,<0,10,critical/other existing credit,furniture/equipment,2,co applicant,none,2,good
119,4281,23,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,500<=X<1000,own,4,car,1,none,yes,<0,33,critical/other existing credit,furniture/equipment,1,none,none,2,bad
120,2366,36,male,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,4<=X<7,500<=X<1000,own,3,car,1,yes,yes,0<=X<200,12,critical/other existing credit,new car,3,none,none,1,good
121,1835,25,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,2,real estate,1,yes,yes,<0,21,existing paid,radio/tv,3,none,none,2,bad
122,3868,41,female,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,>=7,<100,rent,2,car,1,yes,yes,no checking,24,critical/other existing credit,used car,4,none,none,2,good
123,1768,24,male,single,FALSE,unskilled resident,1<=X<4,<100,rent,2,real estate,1,none,yes,no checking,12,existing paid,furniture/equipment,3,none,none,1,good
124,781,63,male,single,TRUE,skilled,>=7,<100,for free,4,no known property,1,yes,yes,>=200,10,critical/other existing credit,new car,4,none,none,2,good
125,1924,27,female,div/sep/mar/wid,FALSE,skilled,<1,no known savings,rent,3,real estate,1,none,yes,0<=X<200,18,existing paid,furniture/equipment,4,none,none,1,bad
126,2121,30,male,single,TRUE,skilled,1<=X<4,<100,own,2,life insurance,1,none,yes,<0,12,critical/other existing credit,new car,4,none,none,2,good
127,701,40,male,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,own,2,real estate,1,none,yes,<0,12,existing paid,radio/tv,4,none,none,1,good
128,639,30,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,none,yes,0<=X<200,12,existing paid,repairs,4,none,none,1,bad
129,1860,34,male,single,TRUE,high qualif/self emp/mgmt,unemployed,<100,own,2,car,1,yes,yes,0<=X<200,12,critical/other existing credit,used car,4,none,none,2,good
130,3499,29,female,div/sep/mar/wid,TRUE,skilled,1<=X<4,<100,own,2,real estate,1,none,yes,<0,12,critical/other existing credit,new car,3,co applicant,none,2,bad
131,8487,24,female,div/sep/mar/wid,FALSE,skilled,4<=X<7,no known savings,own,2,car,1,none,yes,0<=X<200,48,existing paid,new car,1,none,none,1,good
132,6887,29,male,single,TRUE,skilled,1<=X<4,<100,own,3,life insurance,1,yes,yes,<0,36,delayed previously,education,4,none,stores,1,bad
133,2708,27,male,single,FALSE,unskilled resident,<1,<100,own,3,life insurance,1,none,yes,no checking,15,existing paid,furniture/equipment,2,none,bank,2,good
134,1984,47,male,single,FALSE,skilled,1<=X<4,<100,for free,4,no known property,1,none,yes,no checking,18,existing paid,furniture/equipment,4,none,bank,2,good
135,10144,21,female,div/sep/mar/wid,FALSE,skilled,4<=X<7,100<=X<500,own,4,real estate,1,yes,yes,no checking,60,existing paid,radio/tv,2,none,none,1,good
136,1240,38,female,div/sep/mar/wid,TRUE,skilled,>=7,no known savings,own,2,real estate,1,yes,yes,no checking,12,critical/other existing credit,radio/tv,4,none,none,2,good
137,8613,27,male,single,TRUE,skilled,1<=X<4,>=1000,own,2,car,1,none,yes,no checking,27,delayed previously,used car,2,none,none,2,good
138,766,66,male,single,FALSE,unskilled resident,1<=X<4,500<=X<1000,own,3,real estate,1,none,yes,0<=X<200,12,existing paid,radio/tv,4,none,none,1,bad
139,2728,35,male,single,TRUE,skilled,4<=X<7,no known savings,own,2,real estate,1,yes,yes,0<=X<200,15,critical/other existing credit,radio/tv,4,guarantor,bank,3,good
140,1881,44,female,div/sep/mar/wid,FALSE,unskilled resident,1<=X<4,<100,rent,2,car,1,yes,yes,>=200,12,existing paid,radio/tv,2,none,none,1,good
141,709,27,male,div/sep/mar/wid,FALSE,unemp/unskilled non res,<1,>=1000,own,2,real estate,1,none,no,>=200,6,existing paid,new car,2,none,none,1,good
142,4795,30,female,div/sep/mar/wid,FALSE,high qualif/self emp/mgmt,<1,<100,own,1,no known property,1,yes,yes,0<=X<200,36,existing paid,radio/tv,4,none,none,1,good
143,3416,27,male,single,FALSE,high qualif/self emp/mgmt,1<=X<4,<100,own,2,car,1,none,yes,<0,27,existing paid,radio/tv,3,none,none,1,good
144,2462,22,male,single,FALSE,skilled,1<=X<4,<100,own,2,car,1,none,yes,<0,18,existing paid,furniture/equipment,2,none,none,1,bad
145,2288,23,female,div/sep/mar/wid,TRUE,skilled,<1,<100,own,4,life insurance,1,yes,yes,no checking,21,critical/other existing credit,furniture/equipment,4,none,none,1,good
146,3566,30,male,single,FALSE,skilled,4<=X<7,100<=X<500,own,2,car,1,none,yes,0<=X<200,48,all paid,business,4,none,none,1,good
147,860,39,female,div/sep/mar/wid,TRUE,skilled,>=7,<100,own,4,no known property,1,yes,yes,<0,6,critical/other existing credit,new car,1,none,none,2,good
148,682,51,female,div/sep/mar/wid,TRUE,skilled,4<=X<7,100<=X<500,own,3,car,1,yes,yes,no checking,12,critical/other existing credit,new car,4,none,none,2,good
149,5371,28,male,single,TRUE,skilled,1<=X<4,<100,own,2,life insurance,1,none,yes,<0,36,critical/other existing credit,furniture/equipment,3,guarantor,none,2,good
150,1582,46,male,single,TRUE,skilled,>=7,>=1000,own,4,car,1,none,yes,no checking,18,critical/other existing credit,radio/tv,4,none,none,2,good
151,1346,42,male,single,FALSE,skilled,>=7,100<=X<500,for free,4,no known property,2,yes,yes,no checking,6,existing paid,radio/tv,2,none,bank,1,good
152,1924,38,male,single,FALSE,skilled,1<=X<4,<100,own,4,life insurance,1,yes,no,no checking,10,existing paid,radio/tv,1,none,none,1,good
153,5848,24,male,single,FALSE,skilled,1<=X<4,<100,own,1,car,1,none,yes,>=200,36,existing paid,radio/tv,4,none,none,1,good
154,7758,29,female,div/sep/mar/wid,TRUE,skilled,>=7,>=1000,rent,4,no known property,1,none,yes,0<=X<200,24,critical/other existing credit,used car,2,none,none,1,good
155,6967,36,male,single,TRUE,high qualif/self emp/mgmt,4<=X<7,100<=X<500,rent,4,car,1,yes,yes,0<=X<200,24,delayed previously,business,4,none,none,1,good
156,1282,20,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,rent,4,car,1,none,yes,<0,12,existing paid,furniture/equipment,2,none,none,1,bad
157,1288,48,male,single,TRUE,skilled,>=7,100<=X<500,own,4,real estate,2,none,no,<0,9,critical/other existing credit,repairs,3,guarantor,none,2,good
158,339,45,male,div/sep/mar/wid,FALSE,unskilled resident,>=7,<100,own,1,car,1,none,yes,<0,12,all paid,retraining,4,none,bank,1,good
159,3512,38,male,single,FALSE,skilled,4<=X<7,100<=X<500,own,3,car,1,yes,yes,0<=X<200,24,existing paid,new car,2,none,bank,2,good
160,1898,34,male,single,TRUE,unskilled resident,1<=X<4,no known savings,own,2,real estate,2,none,yes,no checking,6,critical/other existing credit,radio/tv,1,none,none,2,good
161,2872,36,male,single,TRUE,skilled,>=7,100<=X<500,own,4,real estate,2,yes,yes,no checking,24,critical/other existing credit,radio/tv,3,none,none,1,good
162,1055,30,female,div/sep/mar/wid,TRUE,skilled,<1,<100,own,1,life insurance,1,none,yes,no checking,18,critical/other existing credit,new car,4,none,none,2,good
163,1262,36,male,single,FALSE,skilled,4<=X<7,500<=X<1000,own,3,life insurance,1,yes,yes,no checking,15,existing paid,domestic appliance,4,none,none,2,good
164,7308,70,male,single,FALSE,high qualif/self emp/mgmt,unemployed,<100,for free,4,no known property,1,yes,yes,0<=X<200,10,existing paid,new car,2,none,bank,1,good
165,909,36,male,single,FALSE,skilled,>=7,500<=X<1000,own,4,life insurance,1,none,yes,no checking,36,existing paid,new car,4,none,none,1,good
166,2978,32,male,single,FALSE,skilled,1<=X<4,500<=X<1000,own,2,car,1,yes,yes,no checking,6,existing paid,furniture/equipment,1,none,none,1,good
167,1131,33,female,div/sep/mar/wid,FALSE,skilled,unemployed,<100,own,2,car,1,none,yes,<0,18,existing paid,furniture/equipment,4,none,none,1,bad
168,1577,20,female,div/sep/mar/wid,FALSE,skilled,<1,>=1000,own,1,real estate,1,none,yes,0<=X<200,11,existing paid,furniture/equipment,4,none,none,1,good
169,3972,25,female,div/sep/mar/wid,FALSE,skilled,4<=X<7,<100,rent,4,life insurance,1,yes,yes,no checking,24,existing paid,furniture/equipment,2,none,none,1,good
170,1935,31,male,div/sep/mar/wid,TRUE,skilled,>=7,<100,own,4,real estate,1,yes,yes,0<=X<200,24,critical/other existing credit,business,4,none,none,2,bad
171,950,33,male,single,FALSE,skilled,>=7,<100,rent,3,car,2,none,yes,<0,15,no credits/all paid,new car,4,none,none,2,bad
172,763,26,female,div/sep/mar/wid,FALSE,skilled,1<=X<4,<100,own,1,real estate,1,yes,yes,no checking,12,existing paid,furniture/equipment,4,none,none,1,good
173,2064,34,female,div/sep/mar/wid,TRUE,high qualif/self emp/mgmt,unemployed,<100,own,2,life insurance,1,yes,yes,0<=X<200,24,delayed previously,furniture/equipment,3,none,none,1,bad
